名称, 地址,StatusCode
实时公交, http://112.243.253.85:8088/?userAccount=80233439,200
市长信箱, http://con.icloudcity.cn/shizhangxinxiang/,200
公积金, https://app.icloudcity.cn:8083/web/myquery/index.html,200
